,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Genes
PCSK9,2.53E-25,-0.787348573,0.071,0.105,4.49E-21,PCSK9
LCP1,2.72E-25,-0.254727586,0.272,0.331,4.84E-21,LCP1
FCHSD1,2.84E-25,-0.232031377,0.272,0.33,5.04E-21,FCHSD1
KCNIP2,2.86E-25,-0.300771983,0.081,0.118,5.08E-21,KCNIP2
ADD1,3.01E-25,0.24271031,0.575,0.569,5.35E-21,ADD1
STRADB,3.31E-25,0.599930706,0.272,0.236,5.88E-21,STRADB
GZMA,3.48E-25,-0.767179248,0.048,0.077,6.18E-21,GZMA
SPTLC2,3.49E-25,0.281203015,0.578,0.567,6.20E-21,SPTLC2
MYL3,3.73E-25,0.907187189,0.031,0.015,6.63E-21,MYL3
POFUT2,4.05E-25,-0.207720229,0.355,0.419,7.19E-21,POFUT2
AK7,4.07E-25,0.838849027,0.079,0.053,7.23E-21,AK7
RCN3,4.07E-25,-0.223746585,0.397,0.464,7.24E-21,RCN3
RRAGD,4.09E-25,0.589998611,0.174,0.137,7.26E-21,RRAGD
GPT,4.22E-25,0.66970032,0.074,0.049,7.50E-21,GPT
C2orf91,4.29E-25,-0.705229542,0.014,0.034,7.62E-21,C2orf91
GAS2,4.31E-25,0.722023516,0.066,0.042,7.66E-21,GAS2
NLRC5,4.47E-25,-0.351504041,0.188,0.237,7.95E-21,NLRC5
PITPNA,4.65E-25,-0.207186342,0.635,0.702,8.26E-21,PITPNA
TCTEX1D2,4.78E-25,-0.229343081,0.106,0.147,8.50E-21,TCTEX1D2
TSLP,4.96E-25,0.540296452,0.061,0.038,8.81E-21,TSLP
RTN1,5.56E-25,0.905525317,0.126,0.094,9.87E-21,RTN1
PGBD5,5.56E-25,-1.227753759,0.016,0.036,9.88E-21,PGBD5
CES2,5.72E-25,-0.319169744,0.268,0.324,1.02E-20,CES2
CATIP,5.94E-25,1.168574681,0.02,0.009,1.06E-20,CATIP
ZNF808,5.99E-25,0.773096569,0.093,0.065,1.06E-20,ZNF808
CTSL,6.08E-25,0.35278323,0.479,0.454,1.08E-20,CTSL
RFC4,6.10E-25,-0.227993139,0.162,0.213,1.08E-20,RFC4
ALAD,6.46E-25,0.42951579,0.326,0.287,1.15E-20,ALAD
TMEM254,6.52E-25,-0.360522267,0.102,0.142,1.16E-20,TMEM254
UPP1,6.60E-25,-0.217117287,0.4,0.467,1.17E-20,UPP1
ARVCF,6.67E-25,0.572769694,0.165,0.129,1.18E-20,ARVCF
TMEM97,6.97E-25,-0.299843941,0.286,0.338,1.24E-20,TMEM97
LAG3,7.13E-25,-0.88911728,0.03,0.055,1.27E-20,LAG3
LYRM1,7.32E-25,0.618988546,0.189,0.151,1.30E-20,LYRM1
NR5A2,7.81E-25,-0.359294418,0.143,0.188,1.39E-20,NR5A2
GZMH,7.82E-25,-1.226785032,0.018,0.039,1.39E-20,GZMH
GCNT2,7.86E-25,-0.403485984,0.071,0.106,1.40E-20,GCNT2
ADAMTS14,8.06E-25,-0.315517863,0.112,0.154,1.43E-20,ADAMTS14
TM7SF3,8.28E-25,-0.252923889,0.338,0.398,1.47E-20,TM7SF3
HCAR2,8.56E-25,-0.678045772,0.023,0.046,1.52E-20,HCAR2
TAZ,8.92E-25,-0.205624099,0.345,0.409,1.58E-20,TAZ
MAP7,8.93E-25,-0.230859603,0.399,0.458,1.59E-20,MAP7
BET1,9.15E-25,-0.215671311,0.359,0.421,1.63E-20,BET1
FDFT1,9.52E-25,0.283453663,0.6,0.594,1.69E-20,FDFT1
EFNA4,9.66E-25,-0.43614819,0.075,0.11,1.72E-20,EFNA4
EDN1,9.76E-25,0.5868804,0.218,0.181,1.73E-20,EDN1
CDK2,9.88E-25,-0.318659228,0.149,0.196,1.75E-20,CDK2
NUDT15,9.89E-25,-0.293327538,0.162,0.212,1.76E-20,NUDT15
LRP5,1.01E-24,0.411932925,0.405,0.374,1.79E-20,LRP5
TRAJ36,1.01E-24,-0.86965089,0.04,0.068,1.79E-20,TRAJ36
CSF1,1.04E-24,0.34306552,0.371,0.33,1.84E-20,CSF1
PDE11A,1.04E-24,0.821312565,0.058,0.036,1.85E-20,PDE11A
IL6,1.06E-24,0.324641437,0.085,0.058,1.88E-20,IL6
FRMD5,1.07E-24,-0.357264049,0.09,0.128,1.89E-20,FRMD5
RNF103,1.07E-24,0.393273041,0.254,0.213,1.90E-20,RNF103
PCCA,1.09E-24,0.601256566,0.207,0.171,1.94E-20,PCCA
MAZ,1.10E-24,0.264887298,0.569,0.549,1.95E-20,MAZ
TADA2A,1.13E-24,-0.234411693,0.131,0.176,2.00E-20,TADA2A
AQP8,1.15E-24,-1.524953484,0.013,0.031,2.05E-20,AQP8
FXYD4,1.19E-24,2.1517005,0.011,0.003,2.12E-20,FXYD4
CCL22,1.20E-24,-0.944904967,0.04,0.067,2.13E-20,CCL22
CD28,1.23E-24,-0.515806753,0.048,0.078,2.19E-20,CD28
IL13RA2,1.25E-24,-1.814596942,0.004,0.018,2.22E-20,IL13RA2
NUAK1,1.29E-24,-0.250495183,0.169,0.219,2.30E-20,NUAK1
ISY1,1.32E-24,-0.229562589,0.261,0.318,2.35E-20,ISY1
SIAH2,1.35E-24,-0.210188328,0.258,0.317,2.39E-20,SIAH2
ACE2,1.40E-24,0.951186478,0.088,0.061,2.49E-20,ACE2
ADAP1,1.52E-24,0.489401047,0.325,0.291,2.70E-20,ADAP1
TMC2,1.53E-24,1.537850585,0.011,0.003,2.71E-20,TMC2
SNAP47,1.57E-24,-0.243450107,0.265,0.323,2.80E-20,SNAP47
ZNF460,1.59E-24,0.373184117,0.337,0.299,2.83E-20,ZNF460
RTL5,1.60E-24,0.457617193,0.116,0.084,2.85E-20,RTL5
MAP3K13,1.62E-24,0.454392131,0.361,0.327,2.88E-20,MAP3K13
PCDHGB1,1.64E-24,0.732414639,0.082,0.056,2.91E-20,PCDHGB1
TRAJ10,1.64E-24,-0.559596297,0.045,0.074,2.92E-20,TRAJ10
COL9A1,1.73E-24,1.204603505,0.027,0.013,3.07E-20,COL9A1
FGF1,1.82E-24,-0.36688742,0.077,0.112,3.24E-20,FGF1
DCUN1D3,1.84E-24,0.417904766,0.34,0.303,3.26E-20,DCUN1D3
FAM83D,1.90E-24,1.092519386,0.17,0.138,3.38E-20,FAM83D
MST1,1.93E-24,0.540541077,0.149,0.113,3.43E-20,MST1
NCOA1,1.93E-24,0.399381334,0.324,0.287,3.44E-20,NCOA1
CYSRT1,1.95E-24,0.806608645,0.146,0.114,3.46E-20,CYSRT1
PAQR7,1.96E-24,0.466771796,0.27,0.231,3.48E-20,PAQR7
CCDC114,1.97E-24,0.849880799,0.056,0.034,3.49E-20,CCDC114
CLEC17A,1.99E-24,-1.271643796,0.01,0.027,3.54E-20,CLEC17A
ATP6AP2,2.01E-24,0.297113744,0.532,0.515,3.57E-20,ATP6AP2
PDE10A,2.16E-24,-0.543047793,0.063,0.095,3.84E-20,PDE10A
SEMA4A,2.17E-24,-0.422380245,0.161,0.205,3.85E-20,SEMA4A
RAB37,2.19E-24,0.83445134,0.077,0.051,3.89E-20,RAB37
HDAC6,2.28E-24,0.521423886,0.3,0.264,4.05E-20,HDAC6
AIF1,2.29E-24,-0.236596054,0.325,0.385,4.07E-20,AIF1
DAPP1,2.37E-24,-0.32718785,0.103,0.142,4.21E-20,DAPP1
RTEL1,2.37E-24,-0.300155898,0.236,0.287,4.21E-20,RTEL1
TOMM34,2.40E-24,-0.275683591,0.304,0.362,4.26E-20,TOMM34
OARD1,2.52E-24,0.583653246,0.234,0.197,4.47E-20,OARD1
HIST1H2AD,2.53E-24,-0.27370875,0.437,0.488,4.49E-20,HIST1H2AD
DPM2,2.71E-24,0.541178686,0.246,0.208,4.81E-20,DPM2
FBXO22,2.72E-24,-0.219907191,0.32,0.382,4.83E-20,FBXO22
PFKFB4,2.75E-24,-0.20469164,0.085,0.123,4.88E-20,PFKFB4
WNT5B,2.87E-24,-0.5680403,0.043,0.071,5.10E-20,WNT5B
FOXA2,2.89E-24,-0.499880541,0.103,0.141,5.14E-20,FOXA2
SH2D1A,2.90E-24,-0.895609677,0.019,0.04,5.15E-20,SH2D1A
H2AFV,2.93E-24,0.219654593,0.665,0.651,5.21E-20,H2AFV
TRIM65,2.96E-24,-0.221976163,0.249,0.304,5.26E-20,TRIM65
AAMP,2.98E-24,0.260852397,0.592,0.579,5.29E-20,AAMP
UBA6,3.00E-24,-0.210723217,0.224,0.279,5.34E-20,UBA6
CLTC,3.04E-24,0.206724779,0.669,0.659,5.40E-20,CLTC
ARHGAP5,3.45E-24,0.40790681,0.449,0.427,6.12E-20,ARHGAP5
TAS2R31,3.54E-24,0.872540631,0.12,0.09,6.29E-20,TAS2R31
AP3B2,3.57E-24,-1.400747802,0.009,0.026,6.34E-20,AP3B2
TYSND1,3.66E-24,-0.271836661,0.212,0.262,6.49E-20,TYSND1
SPTSSB,3.66E-24,0.837628974,0.089,0.062,6.50E-20,SPTSSB
POF1B,3.77E-24,0.369629789,0.435,0.404,6.70E-20,POF1B
CNTN1,3.81E-24,0.511903345,0.121,0.088,6.77E-20,CNTN1
CCL4L2,3.88E-24,-0.766434277,0.051,0.08,6.89E-20,CCL4L2
BRAT1,4.11E-24,-0.242749775,0.26,0.316,7.31E-20,BRAT1
C3orf52,4.33E-24,-0.243079557,0.228,0.281,7.69E-20,C3orf52
ZC3H13,4.33E-24,0.416146096,0.341,0.305,7.70E-20,ZC3H13
SP140L,4.49E-24,-0.23454422,0.222,0.277,7.98E-20,SP140L
SLC23A2,4.56E-24,0.482351995,0.232,0.192,8.10E-20,SLC23A2
SERPINE2,4.66E-24,-0.439269646,0.144,0.186,8.28E-20,SERPINE2
APBA3,4.76E-24,-0.268542415,0.185,0.234,8.46E-20,APBA3
PCP4,4.77E-24,0.989118273,0.033,0.017,8.47E-20,PCP4
PRKDC,4.91E-24,0.390689643,0.426,0.395,8.73E-20,PRKDC
PTH1R,4.94E-24,0.780603846,0.042,0.024,8.77E-20,PTH1R
PAPOLA,5.00E-24,0.246567952,0.604,0.592,8.88E-20,PAPOLA
PTGFR,5.43E-24,1.504167153,0.022,0.01,9.64E-20,PTGFR
UGT2B15,5.58E-24,0.84217801,0.097,0.069,9.91E-20,UGT2B15
SLC39A10,5.73E-24,0.507187814,0.311,0.275,1.02E-19,SLC39A10
PINLYP,5.77E-24,-0.772161117,0.062,0.092,1.03E-19,PINLYP
SCARB2,5.84E-24,0.203903461,0.692,0.683,1.04E-19,SCARB2
GPX7,6.08E-24,-0.279278856,0.125,0.168,1.08E-19,GPX7
GCLC,6.27E-24,0.428233505,0.269,0.23,1.11E-19,GCLC
IGF2BP1,6.43E-24,-1.000083096,0.014,0.032,1.14E-19,IGF2BP1
CASP8,6.52E-24,-0.31586877,0.198,0.247,1.16E-19,CASP8
MARK1,6.61E-24,-0.949658273,0.041,0.067,1.17E-19,MARK1
KLF8,6.72E-24,0.956364593,0.073,0.049,1.19E-19,KLF8
EDIL3,6.91E-24,0.50629694,0.153,0.118,1.23E-19,EDIL3
SRD5A1,7.15E-24,-0.229833714,0.251,0.306,1.27E-19,SRD5A1
CDKL1,7.16E-24,0.677863897,0.07,0.045,1.27E-19,CDKL1
YARS2,7.27E-24,-0.241848727,0.192,0.242,1.29E-19,YARS2
CDCA5,7.37E-24,-0.348832731,0.074,0.108,1.31E-19,CDCA5
SHANK3,7.83E-24,-0.430308926,0.135,0.177,1.39E-19,SHANK3
MAD2L1BP,8.00E-24,-0.257433534,0.239,0.292,1.42E-19,MAD2L1BP
AKIP1,8.19E-24,-0.260179262,0.174,0.221,1.46E-19,AKIP1
RIPOR1,8.34E-24,-0.357074876,0.241,0.29,1.48E-19,RIPOR1
CPT1C,8.53E-24,0.695083925,0.056,0.035,1.52E-19,CPT1C
CCZ1,8.56E-24,0.59723803,0.22,0.185,1.52E-19,CCZ1
DMAC2,8.67E-24,0.493152669,0.368,0.339,1.54E-19,DMAC2
TPM2,8.76E-24,0.456638745,0.903,0.925,1.56E-19,TPM2
ARID3B,8.93E-24,-0.473093102,0.104,0.141,1.59E-19,ARID3B
KCNS2,9.23E-24,1.45870699,0.018,0.007,1.64E-19,KCNS2
ATP13A2,9.56E-24,-0.260295797,0.209,0.26,1.70E-19,ATP13A2
SLC36A4,9.72E-24,0.647105693,0.146,0.113,1.73E-19,SLC36A4
HMGA1,1.01E-23,-0.252302925,0.79,0.822,1.79E-19,HMGA1
FGFR3,1.02E-23,0.217557602,0.238,0.195,1.81E-19,FGFR3
TP53INP1,1.03E-23,0.491097669,0.184,0.146,1.83E-19,TP53INP1
MTIF2,1.03E-23,-0.207165846,0.141,0.186,1.83E-19,MTIF2
PRG4,1.04E-23,1.268414292,0.03,0.016,1.85E-19,PRG4
ARHGAP9,1.12E-23,-0.397721853,0.163,0.208,2.00E-19,ARHGAP9
NTS,1.14E-23,-2.391182798,0.001,0.013,2.02E-19,NTS
RAD17,1.14E-23,-0.209451106,0.226,0.279,2.03E-19,RAD17
GJA3,1.16E-23,-1.540237624,0.004,0.017,2.06E-19,GJA3
JPH1,1.18E-23,-0.292571315,0.14,0.184,2.10E-19,JPH1
FYCO1,1.19E-23,0.494868659,0.293,0.258,2.11E-19,FYCO1
TLL1,1.21E-23,-1.620575553,0.01,0.027,2.15E-19,TLL1
GP6,1.22E-23,1.630267413,0.018,0.007,2.16E-19,GP6
FOXD1,1.23E-23,-0.204826304,0.08,0.117,2.19E-19,FOXD1
CRYM,1.29E-23,1.06394524,0.041,0.023,2.28E-19,CRYM
UBAP2,1.29E-23,0.625318629,0.215,0.181,2.29E-19,UBAP2
PNMT,1.32E-23,1.369170048,0.034,0.019,2.34E-19,PNMT
GABRG2,1.39E-23,-2.320725881,0.002,0.014,2.47E-19,GABRG2
FXYD6,1.44E-23,0.370899749,0.409,0.372,2.55E-19,FXYD6
C14orf132,1.44E-23,0.697431186,0.098,0.07,2.56E-19,C14orf132
PDCD11,1.49E-23,-0.257280216,0.219,0.27,2.64E-19,PDCD11
YAP1,1.49E-23,0.261720245,0.555,0.53,2.65E-19,YAP1
BTC,1.53E-23,-0.311183739,0.062,0.094,2.72E-19,BTC
JAG2,1.56E-23,-0.279104243,0.201,0.25,2.77E-19,JAG2
FMO3,1.58E-23,0.715690887,0.06,0.037,2.80E-19,FMO3
LYRM4,1.60E-23,-0.267320949,0.146,0.191,2.84E-19,LYRM4
TRPM4,1.69E-23,0.214195135,0.582,0.564,3.00E-19,TRPM4
IGHMBP2,1.80E-23,-0.38393689,0.215,0.265,3.19E-19,IGHMBP2
TCN2,2.05E-23,0.456171616,0.238,0.199,3.63E-19,TCN2
CCDC58,2.13E-23,-0.315374002,0.121,0.163,3.78E-19,CCDC58
AGPAT4,2.20E-23,-0.416261638,0.097,0.134,3.90E-19,AGPAT4
DPY30,2.28E-23,0.320227333,0.517,0.498,4.05E-19,DPY30
PGM5,2.34E-23,1.444081355,0.036,0.02,4.15E-19,PGM5
PCYOX1,2.39E-23,0.416769764,0.362,0.328,4.24E-19,PCYOX1
LRRC28,2.49E-23,-0.536101223,0.073,0.107,4.42E-19,LRRC28
VEGFC,2.55E-23,-0.602325517,0.064,0.095,4.53E-19,VEGFC
CCNE1,2.55E-23,-0.266680624,0.066,0.1,4.54E-19,CCNE1
HEXIM1,2.61E-23,-0.222741661,0.323,0.376,4.63E-19,HEXIM1
FGF20,2.63E-23,-1.316932919,0.014,0.032,4.67E-19,FGF20
AGAP9,2.63E-23,0.357962019,0.376,0.342,4.68E-19,AGAP9
PIK3R2,2.64E-23,0.51531112,0.26,0.223,4.69E-19,PIK3R2
F11,2.67E-23,0.877289657,0.027,0.013,4.74E-19,F11
BTBD7,2.79E-23,0.303486223,0.5,0.482,4.96E-19,BTBD7
RTKN,2.87E-23,0.403462324,0.432,0.406,5.10E-19,RTKN
ELOVL5,2.90E-23,0.372976868,0.374,0.342,5.15E-19,ELOVL5
C12orf45,2.95E-23,-0.284138401,0.163,0.209,5.23E-19,C12orf45
FAIM,2.95E-23,0.46666877,0.264,0.227,5.23E-19,FAIM
FLT3,2.97E-23,1.072667221,0.043,0.025,5.28E-19,FLT3
PHF23,2.98E-23,-0.257610093,0.228,0.28,5.29E-19,PHF23
RAB23,2.99E-23,0.715402892,0.101,0.073,5.31E-19,RAB23
ZDHHC23,3.03E-23,-0.405082385,0.091,0.127,5.39E-19,ZDHHC23
OIP5,3.27E-23,-0.614882664,0.034,0.06,5.81E-19,OIP5
SEMA6B,3.32E-23,-0.443131205,0.074,0.107,5.89E-19,SEMA6B
USP46,3.32E-23,0.668743164,0.138,0.106,5.89E-19,USP46
MXRA5,3.34E-23,0.664029768,0.041,0.023,5.94E-19,MXRA5
AAAS,3.41E-23,-0.20608584,0.235,0.289,6.05E-19,AAAS
UBR3,3.55E-23,0.456753689,0.329,0.295,6.30E-19,UBR3
PLVAP,3.69E-23,-0.33754061,0.239,0.29,6.55E-19,PLVAP
ASB9,3.73E-23,-0.706595521,0.021,0.041,6.62E-19,ASB9
MAP3K2,3.84E-23,0.367704225,0.383,0.351,6.83E-19,MAP3K2
HOXC9,3.85E-23,-0.61378158,0.032,0.056,6.85E-19,HOXC9
SLC6A20,4.02E-23,0.317367544,0.252,0.21,7.14E-19,SLC6A20
CLEC14A,4.04E-23,-0.499480204,0.091,0.127,7.18E-19,CLEC14A
PROSER1,4.06E-23,-0.208987007,0.207,0.259,7.21E-19,PROSER1
KLHL22,4.34E-23,0.576714616,0.23,0.194,7.70E-19,KLHL22
POLR2K,4.37E-23,0.324690452,0.489,0.467,7.76E-19,POLR2K
VPS41,4.38E-23,0.472871725,0.353,0.321,7.77E-19,VPS41
NUP205,4.50E-23,-0.218260197,0.199,0.249,8.00E-19,NUP205
TMEM35B,4.64E-23,0.367228824,0.386,0.355,8.24E-19,TMEM35B
ITPKB,4.74E-23,-0.297513439,0.125,0.167,8.42E-19,ITPKB
ZNF415,4.78E-23,0.557735121,0.132,0.1,8.50E-19,ZNF415
GNGT2,5.11E-23,-0.856150164,0.028,0.051,9.08E-19,GNGT2
AMTN,5.22E-23,-2.310547105,0.003,0.016,9.27E-19,AMTN
TRAJ18,5.28E-23,-0.588242592,0.06,0.09,9.37E-19,TRAJ18
CCDC85C,5.33E-23,0.48653051,0.272,0.237,9.47E-19,CCDC85C
SDS,5.43E-23,-0.611113174,0.074,0.107,9.64E-19,SDS
ATP8A1,6.02E-23,-0.278473804,0.114,0.154,1.07E-18,ATP8A1
IP6K2,6.17E-23,0.293856251,0.487,0.463,1.10E-18,IP6K2
ZNF703,6.26E-23,-0.224841999,0.163,0.21,1.11E-18,ZNF703
CPNE3,6.63E-23,0.391611841,0.393,0.363,1.18E-18,CPNE3
BBS1,6.65E-23,0.525585335,0.235,0.199,1.18E-18,BBS1
PARP8,6.71E-23,0.286272964,0.485,0.461,1.19E-18,PARP8
DOC2A,6.77E-23,-0.565106717,0.027,0.05,1.20E-18,DOC2A
ZNF841,6.91E-23,0.721741076,0.131,0.1,1.23E-18,ZNF841
HOXA7,7.08E-23,-1.525987767,0.01,0.026,1.26E-18,HOXA7
RGMB,7.31E-23,0.700455088,0.165,0.132,1.30E-18,RGMB
SPOCK1,7.39E-23,0.637599388,0.201,0.167,1.31E-18,SPOCK1
GPR34,8.22E-23,0.814064368,0.065,0.042,1.46E-18,GPR34
TRAJ16,8.58E-23,-0.652653728,0.048,0.076,1.52E-18,TRAJ16
NKRF,8.88E-23,-0.200305072,0.271,0.33,1.58E-18,NKRF
RFX3,9.04E-23,-0.369386745,0.104,0.142,1.61E-18,RFX3
CCDC127,9.97E-23,0.528460134,0.196,0.16,1.77E-18,CCDC127
PGR,1.00E-22,0.889760356,0.03,0.015,1.78E-18,PGR
UPF3A,1.02E-22,-0.39878981,0.124,0.164,1.81E-18,UPF3A
TCF19,1.09E-22,-0.209071442,0.106,0.146,1.94E-18,TCF19
C2orf81,1.16E-22,0.865650656,0.08,0.055,2.06E-18,C2orf81
EPHB1,1.16E-22,-1.012865305,0.009,0.026,2.07E-18,EPHB1
HAPLN2,1.18E-22,1.64573518,0.015,0.005,2.09E-18,HAPLN2
DENND2A,1.21E-22,0.64349939,0.126,0.095,2.14E-18,DENND2A
KCNK6,1.24E-22,-0.212491196,0.244,0.295,2.21E-18,KCNK6
IVL,1.26E-22,-0.56751048,0.019,0.039,2.23E-18,IVL
DLGAP1,1.27E-22,0.844902402,0.032,0.017,2.25E-18,DLGAP1
ZDHHC12,1.33E-22,-0.224942027,0.242,0.297,2.36E-18,ZDHHC12
ERF,1.33E-22,0.306513188,0.511,0.488,2.37E-18,ERF
TRIM45,1.42E-22,0.585124634,0.103,0.074,2.51E-18,TRIM45
UTP6,1.43E-22,-0.218377985,0.295,0.352,2.54E-18,UTP6
SIRT6,1.48E-22,-0.222519731,0.213,0.265,2.63E-18,SIRT6
CD200,1.49E-22,-0.607079314,0.09,0.125,2.65E-18,CD200
BTBD11,1.51E-22,-1.120980726,0.013,0.03,2.69E-18,BTBD11
CKAP5,1.60E-22,0.399132126,0.459,0.44,2.84E-18,CKAP5
SPSB1,1.63E-22,-0.274514629,0.362,0.416,2.89E-18,SPSB1
FARP2,1.63E-22,0.423212614,0.356,0.323,2.90E-18,FARP2
LRRC32,1.66E-22,0.299804939,0.358,0.319,2.95E-18,LRRC32
SOX18,1.77E-22,-0.599745175,0.047,0.074,3.14E-18,SOX18
ZNF676,1.78E-22,1.636201282,0.02,0.009,3.16E-18,ZNF676
FBXO27,1.78E-22,-1.029227154,0.019,0.039,3.17E-18,FBXO27
KCNK15,1.79E-22,1.091710214,0.053,0.034,3.19E-18,KCNK15
DMKN,1.91E-22,-0.212863357,0.237,0.292,3.39E-18,DMKN
GALNT17,2.01E-22,1.062752129,0.019,0.008,3.58E-18,GALNT17
TLR8,2.04E-22,-0.449304343,0.036,0.061,3.62E-18,TLR8
FAM131C,2.05E-22,1.358777218,0.03,0.016,3.64E-18,FAM131C
AP3M2,2.05E-22,-0.33670587,0.174,0.219,3.65E-18,AP3M2
CCDC96,2.14E-22,1.029474011,0.055,0.034,3.80E-18,CCDC96
POLE,2.14E-22,-0.203960784,0.109,0.148,3.80E-18,POLE
DARS,2.29E-22,0.434162808,0.367,0.334,4.07E-18,DARS
RYBP,2.30E-22,0.351845716,0.431,0.404,4.09E-18,RYBP
SUFU,2.36E-22,-0.216734328,0.184,0.232,4.19E-18,SUFU
LRRC19,2.37E-22,0.606701511,0.053,0.033,4.22E-18,LRRC19
G6PC,2.40E-22,1.276891399,0.011,0.004,4.26E-18,G6PC
PCDHB7,2.43E-22,0.916720524,0.05,0.03,4.32E-18,PCDHB7
XRCC1,2.48E-22,-0.328066053,0.26,0.309,4.41E-18,XRCC1
ZNF287,2.49E-22,0.841336354,0.065,0.043,4.43E-18,ZNF287
ACVR1,2.63E-22,0.386424302,0.292,0.255,4.68E-18,ACVR1
GGH,2.66E-22,-0.268170727,0.195,0.244,4.73E-18,GGH
ANXA6,2.77E-22,0.341791848,0.46,0.442,4.93E-18,ANXA6
TAB3,2.91E-22,0.845360587,0.065,0.043,5.18E-18,TAB3
IGLV9-49,2.92E-22,-1.483226717,0.009,0.024,5.18E-18,IGLV9-49
FAM49B,2.98E-22,0.383856435,0.452,0.429,5.29E-18,FAM49B
ZNF750,3.09E-22,-2.557254908,0.002,0.014,5.49E-18,ZNF750
SESN1,3.17E-22,0.574996663,0.162,0.129,5.63E-18,SESN1
ZYG11B,3.20E-22,0.566565986,0.19,0.155,5.68E-18,ZYG11B
ITGAE,3.21E-22,-0.967665512,0.023,0.043,5.70E-18,ITGAE
P2RY6,3.35E-22,-0.64118026,0.039,0.065,5.94E-18,P2RY6
TMOD1,3.37E-22,0.723999394,0.111,0.082,5.99E-18,TMOD1
CLIP3,3.39E-22,0.727138991,0.133,0.102,6.02E-18,CLIP3
HAX1,3.42E-22,-0.245649552,0.12,0.16,6.07E-18,HAX1
LGR5,3.57E-22,-0.392694617,0.072,0.104,6.33E-18,LGR5
CRKL,3.89E-22,0.392504648,0.429,0.404,6.91E-18,CRKL
MICU2,3.95E-22,0.379467307,0.383,0.353,7.02E-18,MICU2
IRX3,3.97E-22,-0.380927959,0.044,0.071,7.06E-18,IRX3
FDXR,3.99E-22,0.570445248,0.111,0.081,7.10E-18,FDXR
SCG3,4.14E-22,0.240198472,0.064,0.041,7.35E-18,SCG3
PLIN4,4.15E-22,0.957428117,0.021,0.01,7.37E-18,PLIN4
EEF1AKMT4,4.15E-22,-0.312604704,0.076,0.11,7.38E-18,EEF1AKMT4
TPK1,4.16E-22,-0.468144355,0.065,0.096,7.39E-18,TPK1
AQP1,4.18E-22,-0.771388062,0.477,0.505,7.42E-18,AQP1
SELL,4.21E-22,-0.572901184,0.059,0.089,7.48E-18,SELL
PIEZO2,4.24E-22,1.161083601,0.041,0.024,7.52E-18,PIEZO2
RBM5,4.45E-22,0.221948549,0.58,0.569,7.90E-18,RBM5
UBIAD1,4.52E-22,-0.28382503,0.187,0.234,8.03E-18,UBIAD1
PNRC1,4.64E-22,0.234369556,0.688,0.687,8.25E-18,PNRC1
POLQ,4.65E-22,-0.533487275,0.045,0.073,8.26E-18,POLQ
IL23A,4.95E-22,-0.755900596,0.012,0.028,8.80E-18,IL23A
NUDCD1,5.12E-22,0.537860068,0.231,0.198,9.10E-18,NUDCD1
WNT7A,5.19E-22,-0.453035948,0.21,0.255,9.22E-18,WNT7A
NCAPG,5.52E-22,-0.43464936,0.066,0.097,9.80E-18,NCAPG
GFRA1,5.60E-22,1.040615164,0.067,0.045,9.94E-18,GFRA1
PGAP3,5.61E-22,0.391444918,0.332,0.299,9.96E-18,PGAP3
LRFN4,5.66E-22,-0.241138126,0.298,0.358,1.01E-17,LRFN4
APOBEC3F,5.81E-22,-0.318962473,0.145,0.187,1.03E-17,APOBEC3F
CASP10,6.14E-22,-0.204249374,0.185,0.232,1.09E-17,CASP10
KRT73,6.28E-22,-2.778978325,0.001,0.012,1.12E-17,KRT73
DPM3,6.31E-22,0.347141554,0.339,0.302,1.12E-17,DPM3
ERP44,6.38E-22,0.253334842,0.559,0.548,1.13E-17,ERP44
TRAF3IP3,6.41E-22,-0.494394923,0.062,0.092,1.14E-17,TRAF3IP3
PARVG,6.49E-22,-0.377445924,0.176,0.22,1.15E-17,PARVG
FP565260.1,6.56E-22,-0.525940382,0.045,0.072,1.16E-17,FP565260.1
KIF1A,6.58E-22,0.722544302,0.038,0.021,1.17E-17,KIF1A
TANC1,6.59E-22,0.404820997,0.355,0.322,1.17E-17,TANC1
SLC24A3,6.60E-22,0.515874902,0.176,0.141,1.17E-17,SLC24A3
TIGD5,6.61E-22,0.669279188,0.12,0.091,1.17E-17,TIGD5
CD163,6.68E-22,0.383721387,0.405,0.371,1.19E-17,CD163
HERPUD1,7.33E-22,0.269748659,0.659,0.683,1.30E-17,HERPUD1
NOCT,7.35E-22,-0.405009599,0.098,0.134,1.31E-17,NOCT
PLCG2,7.77E-22,-0.43666808,0.11,0.147,1.38E-17,PLCG2
PAEP,7.94E-22,-1.481927894,0.009,0.024,1.41E-17,PAEP
KIRREL3,7.95E-22,1.738734498,0.011,0.003,1.41E-17,KIRREL3
ABHD16A,8.10E-22,-0.273705234,0.295,0.347,1.44E-17,ABHD16A
SPECC1L,8.42E-22,0.488102665,0.194,0.158,1.50E-17,SPECC1L
C1QL1,8.50E-22,0.620605064,0.047,0.029,1.51E-17,C1QL1
BLNK,8.57E-22,-0.429963769,0.144,0.183,1.52E-17,BLNK
SLC25A23,8.66E-22,0.377172541,0.389,0.356,1.54E-17,SLC25A23
TRAJ34,8.90E-22,-0.613546129,0.037,0.062,1.58E-17,TRAJ34
